Guid,ProductCode,Description,Family,CurrencyIsoCode,QuantityUnitOfMeasure,StockKeepingUnit,DiscontinuedDate,IsAssetizable,ConfigureDuringSale,IsSoldOnlyWithOtherProds
1eb80632-69a2-4550-be33-c699652bd003,QB-PDU-2024,"Rack PDU 15A, 120V L5-20 input 5-20 output - Basic Rack Power Distribution Unit allows users to distribute power outlets to rack-mount equipment.",Hardware,USD,#N/A,QB-PDU-2024,#N/A,true,#N/A,false
236fe444-a64b-43c9-9138-db8f2beb7c85,QB-VMW-E,"vSphere Enterprise includes the full range of vSphere features for transforming datacenters into dramatically simplified cloud computing environments providing the next generation of flexible, reliable IT services.",3rd Party Software,USD,#N/A,QB-VMW-E,#N/A,true,#N/A,false
23f7a87b-fa50-43fd-8a1d-9863bf99cc05,QB-FLO-ENTR,"QuantumBit apps process messages and other parts of QB events through components, connectors, and modules that are set up within the scope of Flow and Subflow components within an app.",Software,USD,#N/A,QB-FLO-ENTR,#N/A,true,#N/A,false
26ea5362-30a7-4a42-8a67-ff52e7949f1c,QB-CMPC-5889,The Power Cord is designed to provide ideal electrical connectivity to your equipments. It operates at 250-Volt voltage range.,Hardware,USD,#N/A,QB-CMPC-5889,#N/A,true,#N/A,false
27a1696c-7ef8-4890-8179-d144f67515b0,ECOM01,#N/A,#N/A,USD,#N/A,#N/A,#N/A,true,Allowed,false
27b9c9e7-a393-4e38-adcd-da534f63b69f,QB-AEH-ENV,#N/A,Software,USD,#N/A,QB-AEH-ENV,#N/A,true,Allowed,false
27ea1e0e-a291-4de2-9abc-36816e5c203c,QB-BSSA-4306,Roof Fan Tray promotes bottom to top airflow for an enclosure in zero U of space. It cools by exhausting heat out of the roof of the rack.,Hardware,USD,#N/A,QB-BSSA-4306,#N/A,true,#N/A,false
28f8d544-8d13-44cf-8c04-bf08a3d2a173,QB-MSG-ENTR,"QB Sync is a multi-tenant, cloud-based message queuing service for exchanging data asynchronously between your applications. The QB sync messaging broker enables applications to communicate by publishing a QB message to a queue so that another app can consume the message.",Software,USD,#N/A,QB-MSG-ENTR,#N/A,true,#N/A,false
2be75e1e-52b0-4a1e-9be6-3f66f2d5925d,QB-DRO-AUT-CRED,#N/A,#N/A,USD,#N/A,QB-DRO-AUT-CRED,#N/A,true,#N/A,false
2e1afa77-5b55-46e0-98b4-e8d2577c6dcc,QB-SRV-AS,One-time fee to access premium customer success services as you navigate your data transformation.,Services,USD,#N/A,QB-SRV-AS,#N/A,true,#N/A,false
2f88cc9c-10ef-4154-8b32-d7dd03977179,QB-BSSA-4308,Roof Fan Tray promotes bottom to top airflow for an enclosure in zero U of space. It cools by exhausting heat out of the roof of the rack.,Hardware,USD,#N/A,QB-BSSA-4308,#N/A,true,#N/A,false
2f9a762c-93e5-4db2-81c4-10bf1508bef7,QB-CMPC-5884,These accessories offer the proper cable management options to meet varying needs.,Hardware,USD,#N/A,QB-CMPC-5884,#N/A,true,#N/A,false
2ff70cd8-9184-4da7-a921-a94a6892060f,QB-VMW-S,vSphere Standard provides an entry solution for basic consolidation of applications to slash hardware costs while accelerating application deployment.,3rd Party Software,USD,#N/A,QB-VMW-S,#N/A,true,#N/A,false
32d48e9e-fd28-4acb-a97c-1b4a7881fb9f,QB-BMX-1053,"QuantumShell cooling, power distribution, and cable management products work seamlessly with IT enclosures to provide a complete infrastructure support system. Holds 10 rack units (U's) for a vertical storage rack.",Hardware,USD,#N/A,QB-BMX-1053,#N/A,true,#N/A,false
342226a4-1b0d-4238-9dc0-573632bc80ce,QB-API-PROD,API instances remain under management until they are deleted. Instances of API Manager are aggregated using a Max Concurrent model. The usage for a month is the highest number of APIs Managed in a single given hour during a month.,Software,USD,#N/A,QB-API-PROD,#N/A,true,#N/A,false
3646ec29-80c2-48df-a41f-1c7ef1f655fb,QB-CMPC-5888,The Power Cord is designed to provide ideal electrical connectivity to your equipments. It operates at 250-Volt voltage range.,Hardware,USD,#N/A,QB-CMPC-5888,#N/A,true,#N/A,false
36c21570-f067-4ff3-866e-4920c1bff80c,QB-DAT-GRPH,"With QuantumBit DataGraph, you can reuse multiple APIs in a single request. Enterprise architects can easily unify APIs into one data service — all without writing more code. Developers can consume multiple APIs from the data service in a single GraphQL request.",Software,USD,#N/A,QB-DAT-GRPH,#N/A,true,#N/A,false
390908a4-0009-48d6-9299-bce67e942971,QB-API-GOVT,API instances remain under management until they are deleted. Instances of API Manager are aggregated using a Max Concurrent model. The usage for a month is the highest number of APIs Managed in a single given hour during a month.,Software,USD,#N/A,QB-API-GOVT,#N/A,true,#N/A,false
3b9140ca-73b8-4a81-8c61-94e225d00e16,QB-AEH-CPU,#N/A,Software,USD,#N/A,QB-AEH-CPU,#N/A,true,Allowed,false
3f8dc430-2636-4f70-9b67-f63d4acbfe0a,QB-DRO-API-MGMT,#N/A,#N/A,USD,#N/A,QB-DRO-API-MGMT,#N/A,true,#N/A,false
40224eeb-6d3e-4517-a93f-529ef9d8144c,QB-CMPC-5883,These accessories offer the proper cable management options to meet varying needs.,Hardware,USD,#N/A,QB-CMPC-5883,#N/A,true,#N/A,false
41903399-9004-4e50-a400-d72db768e368,QB-DRO-BDL-ENTR,#N/A,#N/A,USD,#N/A,QB-DRO-BDL-ENTR,#N/A,true,#N/A,false
43f563ed-7747-4b6e-8fe2-2e371d8759ef,QB-PDU-2022,"Rack PDU 20A, 120V L5-20 input 5-20 output - Basic Rack Power Distribution Unit allows users to distribute power outlets to rack-mount equipment.",Hardware,USD,#N/A,QB-PDU-2022,#N/A,true,#N/A,false
45e5cdad-d2a0-43cc-9e81-85ffe7e2c813,QB-PDU-2029,"Rack PDU 5.7W, 208V, 3 phase CS8365 input C13 output - Basic Rack Power Distribution Unit allows users to distribute power outlets to rack-mount equipment.",Hardware,USD,#N/A,QB-PDU-2029,#N/A,true,#N/A,false
46ecfbfc-45ba-41a8-bfa4-bbed59f8fe0b,QB-SRV-OG-PM-PSH,Professional project management services option to be priced on a per-day basis.,Services,USD,#N/A,QB-SRV-OG-PM-PSH,#N/A,true,#N/A,false
4c41949d-1d02-42ca-b9c3-c0e4ff63e137,QB-DRO-API,#N/A,#N/A,USD,#N/A,QB-DRO-API,#N/A,true,#N/A,false
505fd71d-2a58-4a42-934a-1e3b557df12c,QB-HD 1TB,1TB 7.2k RPM NLSAS 12Gps 3.5 in - Industry-leading rotational vibration tolerance design helps ensure consistent performance in dense multi-drive systems,Hardware,USD,Each,QB-HD 1TB,#N/A,true,Allowed,false
54473eae-7932-45df-bc1e-514c01cddccf,QB-DRO-API-PROD,#N/A,#N/A,USD,#N/A,QB-DRO-API-PROD,#N/A,true,#N/A,false
57e59eaa-8571-4e3d-b32f-4d59e4666a48,QB-AEH-OR,#N/A,Software,USD,#N/A,QB-AEH-OR,#N/A,true,Allowed,false
57e644a0-c292-4152-bfb6-fc98433ca61a,QB-SRV-QSE,Basic Consulting package for implementation managed by 3rd party SI/Partner on Fixed Fee basis.,Services,USD,#N/A,QB-SRV-QSE,#N/A,true,#N/A,false
587d7708-49ce-433b-a2b7-8905ad925a91,QB-DRO-FLO-ENTR,#N/A,#N/A,USD,#N/A,QB-DRO-FLO-ENTR,#N/A,true,#N/A,false
5e07d934-5037-470f-b904-5418b26b46e3,LPB001,"The laptop pro bundle includes a Laptop, mouse, warranty for 2 years, premium support and printer bundle",Hardware,USD,#N/A,#N/A,#N/A,true,Allowed,false
5fb8018f-c875-494d-9d8e-7b91a2c67e83,QB-DRO-CS,#N/A,#N/A,USD,#N/A,QB-DRO-CS,#N/A,true,#N/A,false
d5fa3844-589e-40eb-b69e-593440ef4e3f,#N/A,#N/A,#N/A,USD,#N/A,#N/A,#N/A,true,Allowed,false
6177203e-6067-41a1-826e-ff871d6d9825,QB-SUPP-1005,"System maintenance, administration, and configuration performed by a certified technician. Also includes 24x7 phone service and monthly on-site check-ups. 20% of hardware.",Services,USD,#N/A,QB-SUPP-1005,#N/A,true,#N/A,false
61a831c0-7860-465c-8174-dd2f474e0b94,QB-AEH-OBJ,#N/A,Software,USD,#N/A,QB-AEH-OBJ,#N/A,true,Allowed,false
65fec7e7-1401-4cf1-b6f8-940c35f351f0,QB-SUPP-2000,"Upgrade, Bug Fixes, and Patched for Perpetual Licenses.
Early Access to BETA Releases. Upgrade and Patch Assistance. 20% of Licensing",Services,USD,#N/A,QB-SUPP-2000,#N/A,true,#N/A,false
67462f11-c195-44a0-8528-a9e938e7fdd4,QB-BDL-CRTL,"The Business Critical Edition offers specialized functionality for highly regulated industries, especially those with sensitive data. The edition includes all features in the Enterprise Edition plus ...",Bundle,USD,#N/A,QB-BDL-CRTL,#N/A,true,#N/A,false
69951e9d-78f8-4182-86eb-aac06a59e5c5,QB-API-FLEX,API instances remain under management until they are deleted. Instances of API Manager are aggregated using a Max Concurrent model. The usage for a month is the highest number of APIs Managed in a single given hour during a month.,Software,USD,#N/A,QB-API-FLEX,#N/A,true,#N/A,false
6f0ef127-6872-43a7-8686-2c07a910c04a,QB-VMW-D,"vSphere Desktop can be used to power virtual desktops, as well as the underlying infrastructure for the VDI environment.",3rd Party Software,USD,#N/A,QB-VMW-D,#N/A,true,#N/A,false
727d4845-0481-43c0-ab2b-c33bcc5ce6d9,QB-BSSA-4300,"Occupying 1U of rack space, this sliding shelf provides ventilation, and easy access to severs.",Hardware,USD,#N/A,QB-BSSA-4300,#N/A,true,#N/A,false
79257d27-a58e-4475-b351-7db8d2ddb381,QB-DRO-PROV,#N/A,#N/A,USD,#N/A,QB-DRO-PROV,#N/A,true,#N/A,false
7a62c5e3-e9af-465b-aa49-92374cd0a460,QB-API,#N/A,Software,USD,#N/A,QB-API,#N/A,true,Allowed,false
7c19f70b-8b12-42f7-ab77-28105e9c839f,QB-DRO-API-REQT,#N/A,#N/A,USD,#N/A,QB-DRO-API-REQT,#N/A,true,#N/A,false
7c6bf6ac-a1cf-4b52-b484-342214d1a605,TEST-SUB,QuantumBit Subscription,Software,USD,Each,TEST-SUB,#N/A,true,Allowed,false
7e0e3e1f-97d9-4790-b88d-cff137540e78,QB-CMPC-5891,The 12' Power Cord is designed to provide ideal electrical connectivity to your equipments. It operates at 250-Volt voltage range.,Hardware,USD,#N/A,QB-CMPC-5891,#N/A,true,#N/A,false
80ec9ebb-b7b6-4ce5-876a-0622539d0329,QB-DRO-API-PREP,#N/A,#N/A,USD,#N/A,QB-DRO-API-PREP,#N/A,true,#N/A,false
839e3785-fc5d-4e04-91a8-65c16a4caccd,QB-DRO-AEH-OBJ,#N/A,#N/A,USD,#N/A,QB-DRO-AEH-OBJ,#N/A,true,#N/A,false
845b0985-802b-4413-af37-e4c6b93b5e9c,QB-INST-1000,Installation and Assembly of a QuantumBit Rack by a Certified technician.,Services,USD,#N/A,QB-INST-1000,#N/A,true,#N/A,false
86819780-5854-4d87-a650-d2453a8e6811,QB-BDL-ENTR,The Enterprise Edition is for companies with large-scale data initiatives looking for more granular enterprise controls. This edition includes all Starter Edition features plus ...,Bundle,USD,#N/A,QB-BDL-ENTR,#N/A,true,#N/A,false
8683eb08-188f-4ff8-9b4f-6ee1e02f3f9c,ENPOS101,#N/A,#N/A,USD,#N/A,#N/A,#N/A,true,Allowed,false
87b966dd-92b8-4a1a-bb48-537d7a1229f8,QB-DRO-BDL-CRTL,#N/A,#N/A,USD,#N/A,QB-DRO-BDL-CRTL,#N/A,true,#N/A,false
88a9b614-c4b6-4493-b418-8f50fcef0517,QB-MEM 32GB,32GB RDIMM,Hardware,USD,Each,QB-MEM 32GB,#N/A,true,Allowed,false
8bd27afe-abd9-4767-ae47-31c3160f17c7,QB-DRO-BDL-SRVC,#N/A,#N/A,USD,#N/A,QB-DRO-BDL-SRVC,#N/A,true,#N/A,false
8c03473a-6e8b-4b4f-8cc6-81ed85989a67,POS01,#N/A,#N/A,USD,#N/A,#N/A,#N/A,true,Allowed,false
93bab527-978f-4b48-9b54-ae906fd968ce,QB-NO-OSYS,No Operating System,None,USD,#N/A,QB-NO-OSYS,#N/A,true,#N/A,false
941b3273-2f1d-4875-a459-d39c4c249898,QB-MSG-STRT,"QB Sync is a multi-tenant, cloud-based message queuing service for exchanging data asynchronously between your applications. The QB sync messaging broker enables applications to communicate by publishing a QB message to a queue so that another app can consume the message.",Software,USD,#N/A,QB-MSG-STRT,#N/A,true,#N/A,false
9434fd25-b00d-4e90-8e21-73ab7ff0ae0d,AST001,#N/A,Support,USD,#N/A,#N/A,#N/A,true,NotAllowed,false
96b949ee-0f02-468f-a4c7-c2e3972cb1cc,QB-BSSA-4298,The 19-inch Black Modular Toolless Blanking Panel allows for quick and easy installation in any EIA-310-D compliant square hole mounting rail rack or enclosure.,Hardware,USD,#N/A,QB-BSSA-4298,#N/A,true,#N/A,false
9f57ef27-cf92-4a00-a7a1-d60ab0a3cf83,QB-AEH-BILL,#N/A,Software,USD,#N/A,QB-AEH-BILL,#N/A,true,Allowed,false
a0216df5-320a-4359-b03b-d1efc777b740,QB-DRO-BDL-STND,#N/A,#N/A,USD,#N/A,QB-DRO-BDL-STND,#N/A,true,#N/A,false
a06d6bf6-d2e9-49d9-9780-e1f5f9a96854,QB-PDU-2026,Rack PDU 10A 230V C20 input C19 output - Basic Rack Power Distribution Unit allows users to distribute power outlets to rack-mount equipment.,Hardware,USD,#N/A,QB-PDU-2026,#N/A,true,#N/A,false
a2e162d7-eec2-436d-add9-a73f2012e693,QB-DRO-BILL,#N/A,#N/A,USD,#N/A,QB-DRO-BILL,#N/A,true,#N/A,false
a4bb50e5-970e-41da-9efb-2cbcb93faf21,QB-PDU-2027,Rack PDU 16A 230V C20 input C13 output - Basic Rack Power Distribution Unit allows users to distribute power outlets to rack-mount equipment.,Hardware,USD,#N/A,QB-PDU-2027,#N/A,true,#N/A,false
ac9aed36-90bc-4ce1-9db7-aa82907965f9,QB-DRO-MSG-STRT,#N/A,#N/A,USD,#N/A,QB-DRO-MSG-STRT,#N/A,true,#N/A,false
ad4191c0-2987-419f-8291-0c087396393f,QB-DRO-TEST-SUB,#N/A,#N/A,USD,#N/A,QB-DRO-TEST-SUB,#N/A,true,#N/A,false
aea193fc-9150-434e-a5a9-1a3fa82b7d41,QB-DRO-COMPLETE,#N/A,#N/A,USD,#N/A,QB-DRO-COMPLETE,#N/A,true,#N/A,false
b0a306f6-29cd-4055-9262-90ba707fec72,LLM001,#N/A,Support,USD,#N/A,#N/A,#N/A,true,NotAllowed,false
b29fee18-f380-44a0-8838-ba720bf55775,QB-BMX-1050,"QuantumShell cooling, power distribution, and cable management products work seamlessly with IT enclosures to provide a complete infrastructure support system. Holds 8 rack units (U's) for a vertical storage rack.",Hardware,USD,#N/A,QB-BMX-1050,#N/A,true,#N/A,false
b985b49a-cb7c-4fa9-8ed5-813747423d30,QB-PDU-2025,"Rack PDU 20A, 230V C20 input C19 output - Basic Rack Power Distribution Unit allows users to distribute power outlets to rack-mount equipment.",Hardware,USD,#N/A,QB-PDU-2025,#N/A,true,#N/A,false
be36ec61-fda2-4f4a-964c-38daf73d2255,SCN01,#N/A,#N/A,USD,#N/A,#N/A,#N/A,true,Allowed,false
c251f70a-da7e-43f6-b7f1-c5d295a879b3,QB-DRO-API-GOVT,#N/A,#N/A,USD,#N/A,QB-DRO-API-GOVT,#N/A,true,#N/A,false
c2f40184-5b99-413d-ab04-0a9e0697ecd3,QB-DRO-API-FLEX,#N/A,#N/A,USD,#N/A,QB-DRO-API-FLEX,#N/A,true,#N/A,false
d2928f04-5036-46b0-bfda-04bce26328f2,W001,#N/A,Service,USD,#N/A,#N/A,#N/A,true,NotAllowed,false
d77eedff-82c3-452b-a139-9c6faa9d30da,QB-CMPC-5892,The 8' Power Cord is designed to provide ideal electrical connectivity to your equipments. It operates at 250-Volt voltage range.,Hardware,USD,#N/A,QB-CMPC-5892,#N/A,true,#N/A,false
d83f9dd9-3e2f-4334-835d-81939bd64658,QB-DRO-BDL-R750,#N/A,#N/A,USD,#N/A,QB-DRO-BDL-R750,#N/A,true,#N/A,false
ddfcb8d9-71fa-4f32-ae55-d19c9e6e698c,QB-CMPC-5890,The Power Cord is designed to provide ideal electrical connectivity to your equipments. It operates at 250-Volt voltage range.,Hardware,USD,#N/A,QB-CMPC-5890,#N/A,true,#N/A,false
dfb0e7b6-1789-4fc9-bc88-aa804b418c01,QB-PDU-2028,"Rack PDU 14.4kW, 208V, 3 phase CS8365 input C13 output - Basic Rack Power Distribution Unit allows users to distribute power outlets to rack-mount equipment.",Hardware,USD,#N/A,QB-PDU-2028,#N/A,true,#N/A,false
e282931b-7206-4a49-910b-1bc57ae63a8d,QB-DRO-DAT-GRPH,#N/A,#N/A,USD,#N/A,QB-DRO-DAT-GRPH,#N/A,true,#N/A,false
e3a4e929-591c-482e-8623-6dc6d08e55ca,QB-DAT-THPT,"Data throughput counts when the deployed application transfers data to execute its business logic, including but not limited to internal operational network traffic for monitoring, logs, and health checks. Data throughput is aggregated as a sum of all bytes during a month.",Software,USD,Each,QB-DAT-THPT,#N/A,true,#N/A,false
e5e416b0-d5d1-4a4c-be99-a44e934285a5,QB-BSSA-4302,"Occupying 1U of rack space, this shelf provides ventilation, 4-post mounting and an adjustable mounting depth.",Hardware,USD,#N/A,QB-BSSA-4302,#N/A,true,#N/A,false
e7ad749b-de44-4ae2-a26c-bf5f63a3a606,QB-DB,QuantumBit Database is a usage based database option.  This product SKU includes all of the various consumption options and their corresponding rate charge plans.,Software,USD,Each,QB-DB,#N/A,true,#N/A,false
e9f204cc-200f-4463-8391-88556cb50144,QB-DRO-DAT-THPT,#N/A,#N/A,USD,#N/A,QB-DRO-DAT-THPT,#N/A,true,#N/A,false
ec282822-6fb0-418f-96cf-3f1ac3a1b167,REG01,#N/A,#N/A,USD,#N/A,#N/A,#N/A,true,Allowed,false
ecc83245-ffe6-4de0-86ec-880da118aed7,QB-SRV-OG-AC-PSH,Professional Services - Associate Consultant Daily Rate,Services,USD,#N/A,QB-SRV-OG-AC-PSH,#N/A,true,#N/A,false
ed7e54c8-4c43-4257-b687-2d8eede0df29,QB-DRO-FLO-STRT,#N/A,#N/A,USD,#N/A,QB-DRO-FLO-STRT,#N/A,true,#N/A,false
eeee1071-0e31-46d2-9f8a-04f806a1c8ae,QB-PDU-2023,"Rack PDU 30A, 120V L5-20 input 5-20 output - Basic Rack Power Distribution Unit allows users to distribute power outlets to rack-mount equipment.",Hardware,USD,#N/A,QB-PDU-2023,#N/A,true,#N/A,false
f4109689-8f78-4c2d-8b21-cd0795c4f0da,QB-BSSA-4304,"Mounting hardware includes light and heavy-duty shelves, bolt-down brackets, stabilization plates, grounding kits, keyboard drawers, mounting rails, brackets, and associated hardware.",Hardware,USD,#N/A,QB-BSSA-4304,#N/A,true,#N/A,false
f5a714b1-ce64-4293-a2eb-fdd6f2a9cf45,QB-BSSA-4303,"Mounting hardware includes light and heavy-duty shelves, bolt-down brackets, stabilization plates, grounding kits, keyboard drawers, mounting rails, brackets, and associated hardware.",Hardware,USD,#N/A,QB-BSSA-4303,#N/A,true,#N/A,false
f83f4b1f-691a-4843-88ca-a57abe310943,QB-DRO-BDL-RAXS,#N/A,#N/A,USD,#N/A,QB-DRO-BDL-RAXS,#N/A,true,#N/A,false
fce41ec2-3145-47a3-b050-b3fae1c916c4,QB-BMX-1051,"QuantumShell cooling, power distribution, and cable management products work seamlessly with IT enclosures to provide a complete infrastructure support system. Holds 6 rack units (U's) for a vertical storage rack.",Hardware,USD,#N/A,QB-BMX-1051,#N/A,true,#N/A,false
fdcdc4d3-bd95-4ce0-95c8-d2a8691b7524,QB-BDL-RAXS,"Support and protect your IT equipment with rack enclosures designed for flexible deployments, usability and infrastructure scalability.",Bundle,USD,#N/A,QB-BDL-RAXS,#N/A,true,#N/A,false
